연도,공항,국내선D/ 국제선I,정상운항,기상,기상결항률,도착안개당해,도착안개상대,도착강설당해,도착강설상대,도착강우당해,도착강우상대,도착기타당해,도착기타상대,도착기상당해,도착기상상대,출발안개당해,출발안개상대,출발강설당해,출발강설상대,출발강우당해,출발강우상대,출발기타당해,출발기타상대,출발기상당해,출발기상상대
2011,CJJ,D,54,26,48.1,0,2,0,1,0,0,0,5,0,8,1,2,1,0,0,0,3,11,5,13
2011,CJJ,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,CJU,D,1231,431,35,61,28,4,11,0,0,183,25,248,64,13,14,7,18,0,2,45,20,65,54
2011,CJU,I,31,16,51.6,0,1,0,0,0,0,8,1,8,2,0,1,0,0,0,0,2,3,2,4
2011,GMP,D,1937,746,38.5,17,57,0,9,1,1,1,29,19,96,64,257,2,46,0,6,19,237,85,546
2011,GMP,I,32,14,43.8,0,2,0,0,1,0,0,3,1,5,0,0,0,0,0,0,0,8,0,8
2011,HIN,D,66,35,53,20,4,1,0,0,0,3,4,24,8,2,0,0,0,0,0,1,0,3,0
2011,KPO,D,336,145,43.2,63,9,23,0,0,0,31,6,117,15,1,1,2,0,0,0,9,0,12,1
2011,KUV,D,42,22,52.4,2,1,8,3,0,0,0,2,10,6,1,0,2,0,0,0,2,1,5,1
2011,KWJ,D,222,150,67.6,38,10,5,4,0,0,11,12,54,26,43,7,3,0,0,0,15,2,61,9
2011,MWX,D,6,2,33.3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2011,MWX,I,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,PUS,D,582,212,36.4,57,21,8,0,0,0,41,13,106,34,22,14,5,0,1,0,7,23,35,37
2011,PUS,I,175,73,41.7,27,3,1,0,0,0,7,15,35,18,8,0,2,0,0,0,7,3,17,3
2011,RSU,D,58,22,37.9,2,7,0,0,3,0,6,3,11,10,0,0,0,0,0,1,0,0,0,1
2011,TAE,D,77,36,46.8,0,1,3,0,1,0,0,7,4,8,3,2,5,0,0,0,6,8,14,10
2011,TAE,I,6,4,66.7,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0
2011,USN,D,248,107,43.1,38,11,16,2,2,0,23,3,79,16,5,2,4,0,0,0,1,0,10,2
2011,WJU,D,34,27,79.4,5,1,5,2,2,0,0,1,12,4,5,0,4,1,1,0,0,0,10,1
2011,YNY,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,CJJ,D,167,134,80.2,10,1,15,4,1,0,9,30,35,35,6,0,14,0,2,1,17,24,39,25
2012,CJJ,I,9,5,55.6,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,3,0
