연도,공항,국내선D/ 국제선I,운항,정상운항,기상,도착안개당해,도착안개상대,도착강설당해,도착강설상대,도착강우당해,도착강우상대,도착기타당해,도착기타상대,도착기상당해,도착기상상대,출발안개당해,출발안개상대,출발강설당해,출발강설상대,출발강우당해,출발강우상대,출발기타당해,출발기타상대,출발기상당해,출발기상상대
2011,CJJ,D,7698,7214,70,13,3,1,1,1,0,0,3,15,7,30,12,3,0,0,0,3,0,36,12
2011,CJJ,I,546,526,5,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
2011,CJU,D,102844,96386,423,155,109,19,1,0,5,37,10,211,125,27,42,7,3,0,1,5,2,39,48
2011,CJU,I,4877,4713,19,6,5,1,0,0,0,5,2,12,7,0,0,0,0,0,0,0,0,0,0
2011,GMP,D,104159,99639,291,20,25,0,4,1,0,0,4,21,33,89,119,0,10,5,0,0,14,94,143
2011,GMP,I,18772,18525,28,0,2,0,1,1,3,0,6,1,12,11,1,0,0,0,0,0,3,11,4
2011,HIN,D,1810,1761,5,3,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0
2011,KPO,D,3540,3495,4,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0
2011,KUV,D,1398,1296,6,1,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,3,0
2011,KWJ,D,10691,10084,66,14,8,0,0,0,0,1,0,15,8,29,10,2,0,0,0,1,1,32,11
2011,MWX,D,190,184,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,MWX,I,552,540,3,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2011,PUS,D,38121,37068,95,13,22,0,2,0,0,7,2,20,26,29,8,1,2,0,0,7,2,37,12
2011,PUS,I,27204,26684,81,23,11,0,7,0,16,10,4,33,38,6,1,0,0,0,0,2,1,8,2
2011,RSU,D,5797,5671,5,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,1
2011,TAE,D,7104,6690,34,1,4,0,1,0,0,2,1,3,6,12,10,0,2,0,0,0,1,12,13
2011,TAE,I,1111,1073,11,2,3,2,0,0,1,0,1,4,5,0,0,1,0,0,0,1,0,2,0
2011,USN,D,6110,6012,8,0,3,0,2,0,0,0,0,0,5,1,2,0,0,0,0,0,0,1,2
2011,WJU,D,696,674,10,1,1,0,0,0,1,0,1,1,3,1,2,0,0,0,1,0,2,1,5
2011,YNY,I,59,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,CJJ,D,7739,7339,67,7,3,3,0,1,0,0,2,11,5,33,2,7,0,1,0,4,4,45,6
2012,CJJ,I,493,476,5,2,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,1,0
2012,CJU,D,105546,99625,297,52,57,7,10,3,2,62,14,124,83,18,27,3,15,4,2,11,10,36,54
2012,CJU,I,6519,6207,41,2,4,1,0,0,4,15,7,18,15,1,0,1,0,0,0,5,1,7,1
2012,GMP,D,103187,99399,145,5,14,0,2,0,0,0,3,5,19,35,50,0,0,3,0,12,21,50,71
2012,GMP,I,21404,21085,31,0,3,0,0,0,4,5,7,5,14,0,4,0,0,0,0,3,5,3,9
2012,HIN,D,1780,1734,5,3,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0
2012,KPO,D,3308,3241,5,2,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,1,0
2012,KUV,D,1350,1248,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
2012,KWJ,D,10800,10420,45,12,7,0,1,1,0,0,0,13,8,20,1,2,0,0,0,1,0,23,1
2012,MWX,D,206,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,MWX,I,552,529,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2012,PUS,D,38925,37774,77,17,9,2,4,0,0,11,3,30,16,11,7,6,0,0,0,6,1,23,8
2012,PUS,I,31393,30677,139,23,20,10,8,2,11,24,22,59,61,5,4,3,2,0,1,2,2,10,9
2012,RSU,D,6000,5892,3,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
2012,TAE,D,7145,6788,28,1,1,1,1,0,0,0,2,2,4,9,4,2,0,0,0,3,4,14,8
2012,TAE,I,864,835,4,1,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0
2012,USN,D,5469,5335,16,0,1,0,5,3,0,3,1,6,7,0,0,0,2,0,0,1,0,1,2
2012,WJU,D,704,673,12,2,3,0,0,0,0,1,0,3,3,3,2,0,0,0,0,1,0,4,2
2012,YNY,I,158,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,CJJ,D,7854,7444,48,7,4,0,0,0,0,0,1,7,5,29,0,4,0,1,0,2,0,36,0
2013,CJJ,I,731,709,5,1,2,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
2013,CJU,D,113028,104858,351,41,99,0,4,0,3,96,9,137,115,14,39,0,0,10,0,34,2,58,41
2013,CJU,I,7865,7553,24,1,11,0,2,0,3,1,1,2,17,0,3,0,0,0,0,0,2,0,5
2013,GMP,D,108751,103198,245,17,11,0,1,1,0,3,23,21,35,89,52,2,0,3,0,16,27,110,79
2013,GMP,I,21268,20873,53,1,1,0,5,0,1,1,19,2,26,14,1,0,0,0,0,0,10,14,11
2013,HIN,D,1706,1664,6,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
2013,KPO,D,3131,3062,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2013,KUV,D,1444,1345,8,0,0,0,1,0,0,1,5,1,6,0,0,0,0,0,0,1,0,1,0
2013,KWJ,D,10775,10208,55,21,3,1,0,0,0,0,1,22,4,27,2,0,0,0,0,0,0,27,2
2013,MWX,D,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,MWX,I,626,603,6,0,2,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0
2013,PUS,D,39910,38715,59,2,11,0,0,0,1,5,8,7,20,6,12,0,0,0,0,9,5,15,17
2013,PUS,I,35692,34933,79,9,10,0,9,0,5,6,19,15,43,3,8,0,0,0,2,1,7,4,17
2013,RSU,D,5825,5703,3,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
2013,TAE,D,7557,7265,11,0,1,0,1,0,0,0,1,0,3,1,4,0,0,0,0,1,2,2,6
2013,TAE,I,842,818,4,0,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0
2013,USN,D,4976,4859,14,1,3,0,1,0,0,2,3,3,7,0,0,0,0,0,0,4,0,4,0
2013,WJU,D,688,650,10,2,1,0,0,0,1,0,1,2,3,3,1,0,0,0,1,0,0,3,2
2013,YNY,D,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,YNY,I,86,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,CJJ,D,8160,7640,55,2,0,0,1,0,0,9,8,11,9,28,0,1,0,1,1,4,0,34,1
2014,CJJ,I,1935,1851,11,1,0,0,0,0,0,2,6,3,6,1,0,1,0,0,0,0,0,2,0
2014,CJU,D,124498,111893,305,14,134,1,7,0,0,48,7,63,148,2,73,0,2,0,3,6,8,8,86
2014,CJU,I,13811,12927,67,0,15,0,3,1,9,13,23,14,50,0,0,0,1,0,0,1,1,1,2
2014,GMP,D,113716,105851,231,19,15,0,0,1,0,8,8,28,23,84,58,0,1,0,0,7,30,91,89
2014,GMP,I,21125,20726,49,2,1,0,7,0,2,0,3,2,13,17,6,0,2,0,0,1,8,18,16
2014,HIN,D,1791,1732,8,5,1,0,1,0,0,0,0,5,2,1,0,0,0,0,0,0,0,1,0
2014,KPO,D,1540,1514,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,KUV,D,1205,1107,6,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2,0,4,0
2014,KWJ,D,11436,10691,82,38,0,0,0,0,0,0,1,38,1,40,0,3,0,0,0,0,0,43,0
