연도,공항,국내선D/ 국제선I,운항,기상,A/C접속,A/C정비,승객접속,항로관련,기타
2011,CJJ,D,7698,70,373,11,1,1,28
2011,CJJ,I,546,5,13,0,0,0,2
2011,CJU,D,102844,423,5635,155,12,13,220
2011,CJU,I,4877,19,123,7,1,4,10
2011,GMP,D,104159,291,3760,192,8,4,265
2011,GMP,I,18772,28,139,30,0,17,33
2011,HIN,D,1810,5,41,3,0,0,0
2011,ICN,D,4270,13,96,12,24,96,60
2011,ICN,I,185008,406,3339,437,170,1412,1092
2011,KPO,D,3540,4,35,3,0,0,3
2011,KUV,D,1398,6,85,1,1,0,9
2011,KWJ,D,10691,66,518,13,0,0,10
2011,MWX,D,190,1,5,0,0,0,0
2011,MWX,I,552,3,7,0,0,0,2
2011,PUS,D,38121,95,826,36,3,3,90
2011,PUS,I,27204,81,312,31,1,44,51
2011,RSU,D,5797,5,105,8,0,0,8
2011,TAE,D,7104,34,341,11,2,8,18
2011,TAE,I,1111,11,22,0,0,2,3
2011,USN,D,6110,8,77,7,0,0,6
2011,WJU,D,696,10,2,0,0,0,10
2011,YNY,I,59,0,0,0,1,0,1
2012,CJJ,D,7739,67,295,8,2,0,28
2012,CJJ,I,493,5,5,1,0,3,3
2012,CJU,D,105546,297,5175,147,16,5,281
2012,CJU,I,6519,41,227,7,0,19,18
2012,GMP,D,103187,145,3097,177,14,16,339
2012,GMP,I,21404,31,174,37,0,38,39
2012,HIN,D,1780,5,39,1,0,0,1
2012,ICN,D,5371,22,152,12,91,250,59
2012,ICN,I,208232,652,4941,541,234,2303,1375
2012,KPO,D,3308,5,52,4,0,0,6
2012,KUV,D,1350,2,93,0,1,0,6
2012,KWJ,D,10800,45,297,14,0,0,24
2012,MWX,D,206,0,3,0,0,0,0
2012,MWX,I,552,2,14,0,0,3,4
2012,PUS,D,38925,77,914,47,10,17,86
2012,PUS,I,31393,139,399,28,0,102,48
2012,RSU,D,6000,3,95,5,0,0,5
2012,TAE,D,7145,28,289,14,1,8,17
2012,TAE,I,864,4,21,0,0,2,2
2012,USN,D,5469,16,109,3,1,0,5
2012,WJU,D,704,12,6,2,0,0,11
2012,YNY,I,158,0,15,1,1,0,7
2013,CJJ,D,7854,48,301,13,0,0,48
2013,CJJ,I,731,5,10,2,0,1,4
2013,CJU,D,113028,351,7392,146,3,16,262
2013,CJU,I,7865,24,246,8,0,17,17
2013,GMP,D,108751,245,4699,180,27,18,384
2013,GMP,I,21268,53,250,24,0,31,37
2013,HIN,D,1706,6,34,1,0,0,1
2013,ICN,D,6047,18,107,8,73,109,52
2013,ICN,I,222213,666,4998,539,157,2158,1088
2013,KPO,D,3131,2,59,3,0,1,4
2013,KUV,D,1444,8,79,0,0,0,12
2013,KWJ,D,10775,55,489,6,0,0,17
2013,MWX,D,203,0,0,0,0,0,0
2013,MWX,I,626,6,15,0,0,1,1
2013,PUS,D,39910,59,1001,47,6,4,78
2013,PUS,I,35692,79,522,36,2,70,50
2013,RSU,D,5825,3,108,5,0,1,5
2013,TAE,D,7557,11,260,6,1,2,12
2013,TAE,I,842,4,18,0,0,1,1
2013,USN,D,4976,14,98,3,0,0,2
2013,WJU,D,688,10,24,2,0,0,2
2013,YNY,D,9,0,0,0,0,0,1
2013,YNY,I,86,0,2,0,0,0,0
2014,CJJ,D,8160,55,404,17,0,2,42
2014,CJJ,I,1935,11,59,1,2,4,7
2014,CJU,D,124498,305,11845,189,5,36,225
2014,CJU,I,13811,67,655,7,2,105,48
2014,GMP,D,113716,231,7095,203,17,27,292
2014,GMP,I,21125,49,284,29,1,16,20
2014,HIN,D,1791,8,47,1,0,0,3
2014,ICN,D,5249,14,73,8,71,138,50
2014,ICN,I,242191,504,5469,680,192,2317,1141
2014,KPO,D,1540,1,23,0,0,0,2
2014,KUV,D,1205,6,86,0,0,1,5
2014,KWJ,D,11436,82,638,6,0,0,19
2014,MWX,D,322,1,25,1,2,0,10
2014,MWX,I,635,6,33,0,1,0,3
2014,PUS,D,40970,60,1499,61,16,5,117
2014,PUS,I,35530,160,576,54,9,127,33
2014,RSU,D,5665,2,152,6,0,0,3
2014,TAE,D,10095,34,368,7,1,3,18
2014,TAE,I,1007,4,17,0,0,0,6
2014,USN,D,4858,10,77,8,0,0,0
2014,WJU,D,688,11,16,0,0,0,2
2014,YNY,D,11,0,1,0,0,0,0
2014,YNY,I,205,1,3,0,0,0,0
2015,CJJ,D,9928,70,818,21,0,0,55
2015,CJJ,I,2719,11,110,5,0,19,13
2015,CJU,D,140911,309,18494,196,5,14,294
2015,CJU,I,13664,66,734,9,0,16,96
2015,GMP,D,120552,223,10029,175,6,26,256
2015,GMP,I,20320,25,225,36,0,17,24
2015,HIN,D,1804,20,85,0,2,0,1
2015,KUV,D,1430,1,130,2,2,0,6
2015,KWJ,D,12200,99,1016,7,0,2,18
2015,MWX,D,861,5,50,1,0,0,7
2015,MWX,I,656,1,22,1,0,5,3
2015,PUS,D,43875,49,3181,77,9,14,182
2015,PUS,I,42055,115,806,58,4,158,37
2015,RSU,D,5476,0,216,5,1,0,1
2015,TAE,D,11238,12,571,9,1,2,25
2015,TAE,I,2101,4,51,0,0,5,0
2015,USN,D,5019,7,100,2,0,1,3
2015,WJU,D,706,3,6,0,0,0,1
2015,YNY,I,92,0,13,0,0,1,0
2016,CJJ,D,12738,64,1782,28,2,9,94
2016,CJJ,I,3305,13,226,5,0,9,11
2016,CJU,D,151127,345,34956,182,22,116,351
2016,CJU,I,18250,112,1170,11,1,56,80
2016,GMP,D,124177,207,18972,207,7,412,579
2016,GMP,I,20451,35,225,35,0,37,19
2016,HIN,D,1822,11,203,4,0,1,9
2016,KPO,D,902,6,57,1,0,0,3
2016,KUV,D,1426,3,365,2,1,0,2
2016,KWJ,D,10769,50,1727,9,0,0,16
2016,MWX,D,715,8,25,0,0,1,6
2016,MWX,I,841,7,53,0,0,8,4
2016,PUS,D,45944,179,6118,65,21,65,222
2016,PUS,I,51946,304,1223,58,3,215,48
2016,RSU,D,4803,3,434,3,0,0,3
2016,TAE,D,11842,36,1230,8,1,26,30
2016,TAE,I,3659,10,122,1,0,9,2
2016,USN,D,4889,5,224,9,0,0,6
2016,WJU,D,699,2,31,0,0,0,0
2016,YNY,D,2,0,0,0,0,0,0
2016,YNY,I,98,1,2,0,1,0,0
