"","연도","공항","국내선D..국제선I","정상운항","기상","기상결항률","도착안개당해","도착안개상대","도착강설당해","도착강설상대","도착강우당해","도착강우상대","도착기타당해","도착기타상대","도착기상당해","도착기상상대","출발안개당해","출발안개상대","출발강설당해","출발강설상대","출발강우당해","출발강우상대","출발기타당해","출발기타상대","출발기상당해","출발기상상대"
"3",2011,"CJU","D",1231,431,35,61,28,4,11,0,0,183,25,248,64,13,14,7,18,0,2,45,20,65,54
"4",2011,"CJU","I",31,16,51.6,0,1,0,0,0,0,8,1,8,2,0,1,0,0,0,0,2,3,2,4
"5",2011,"GMP","D",1937,746,38.5,17,57,0,9,1,1,1,29,19,96,64,257,2,46,0,6,19,237,85,546
"6",2011,"GMP","I",32,14,43.8,0,2,0,0,1,0,0,3,1,5,0,0,0,0,0,0,0,8,0,8
"23",2012,"CJU","D",1524,1110,72.8,17,18,3,70,0,2,336,108,356,198,7,31,11,86,0,3,347,71,365,191
"24",2012,"CJU","I",44,37,84.1,0,0,0,0,0,0,15,3,15,3,0,0,0,0,0,0,18,1,18,1
"25",2012,"GMP","D",1795,1062,59.2,9,47,0,15,0,2,70,283,79,347,34,110,2,34,0,3,77,376,113,523
"26",2012,"GMP","I",52,35,67.3,0,0,0,0,0,2,7,9,7,11,0,0,0,0,0,0,3,14,3,14
"43",2013,"CJU","D",652,343,52.6,51,59,0,22,0,0,39,11,90,92,35,48,0,24,0,2,40,12,75,86
"44",2013,"CJU","I",26,10,38.5,2,1,0,0,0,0,4,0,6,1,2,1,0,0,0,0,0,0,2,1
"45",2013,"GMP","D",942,459,48.7,29,69,0,0,0,0,0,51,29,120,60,175,0,5,0,3,5,62,65,245
"46",2013,"GMP","I",33,17,51.5,0,0,0,1,0,2,0,5,0,8,0,0,0,1,0,0,1,7,1,8
"64",2014,"CJU","D",1484,974,65.6,3,30,0,37,2,1,496,41,501,109,2,23,2,37,5,0,282,13,291,73
"65",2014,"CJU","I",117,88,75.2,0,4,0,1,0,2,40,3,40,10,0,3,0,0,0,0,33,2,33,5
"66",2014,"GMP","D",1707,1216,71.2,12,71,0,8,0,9,6,371,18,459,63,133,3,74,4,3,49,410,119,620
"67",2014,"GMP","I",38,29,76.3,5,0,0,7,0,1,0,7,5,15,0,0,0,4,0,0,3,2,3,6
