"","연도","공항","국내선D..국제선I","운항","기상","A.C접속","A.C정비","승객접속","항로관련","기타"
"3",2011,"CJU","D",102844,423,5635,155,12,13,220
"4",2011,"CJU","I",4877,19,123,7,1,4,10
"5",2011,"GMP","D",104159,291,3760,192,8,4,265
"6",2011,"GMP","I",18772,28,139,30,0,17,33
"25",2012,"CJU","D",105546,297,5175,147,16,5,281
"26",2012,"CJU","I",6519,41,227,7,0,19,18
"27",2012,"GMP","D",103187,145,3097,177,14,16,339
"28",2012,"GMP","I",21404,31,174,37,0,38,39
"47",2013,"CJU","D",113028,351,7392,146,3,16,262
"48",2013,"CJU","I",7865,24,246,8,0,17,17
"49",2013,"GMP","D",108751,245,4699,180,27,18,384
"50",2013,"GMP","I",21268,53,250,24,0,31,37
"70",2014,"CJU","D",124498,305,11845,189,5,36,225
"71",2014,"CJU","I",13811,67,655,7,2,105,48
"72",2014,"GMP","D",113716,231,7095,203,17,27,292
"73",2014,"GMP","I",21125,49,284,29,1,16,20
"93",2015,"CJU","D",140911,309,18494,196,5,14,294
"94",2015,"CJU","I",13664,66,734,9,0,16,96
"95",2015,"GMP","D",120552,223,10029,175,6,26,256
"96",2015,"GMP","I",20320,25,225,36,0,17,24
"112",2016,"CJU","D",151127,345,34956,182,22,116,351
"113",2016,"CJU","I",18250,112,1170,11,1,56,80
"114",2016,"GMP","D",124177,207,18972,207,7,412,579
"115",2016,"GMP","I",20451,35,225,35,0,37,19
