,,,,,,,,,,,
항공사,등록기호,형식,제작일자,기령(년),좌석,최대이륙중량,정치장,,,,
대한항공,HL7584,A330-300,00.05.15,21,276,215.28ton,김포공항,,,,
대한항공,HL7573,B777-300,00.05.30,21,338,272.97ton,인천국제공항,,,,
대한항공,HL7585,A330-300,00.07.06,21,276,215.28ton,김포공항,,,,
대한항공,HL7586,A330-300,00.07.21,21,276,215.28ton,김포공항,,,,
대한항공,HL7560,B737-800,00.07.10,21,147,79ton,인천국제공항,,,,
대한항공,HL7574,B777-200,00.09.18,21,248,286.9ton,김해공항,,,,
대한항공,HL7575,B777-200,00.10.12,21,248,292.56ton,인천국제공항,,,,
대한항공,HL7587,A330-300,00.11.08,21,276,215.28ton,제주공항,,,,
대한항공,HL7598,B777-200,01.07.17,20,248,292.56ton,인천국제공항,,,,
대한항공,HL7702,A330-300,01.09.12,20,276,215.28ton,인천국제공항,,,,
대한항공,HL7714,B777-200,02.06.24,19,248,292.56ton,인천국제공항,,,,
대한항공,HL7706,B737-900,02.07.09,19,188,78.39ton,청주국제공항,,,,
대한항공,HL7709,A330-300,02.07.02,19,276,215.28ton,인천국제공항,,,,
대한항공,HL7707,B737-900,02.07.12,19,188,78.39ton,제주국제공항,,,,
대한항공,HL7715,B777-200,02.08.13,19,248,292.56ton,인천국제공항,,,,
대한항공,HL7710,A330-300,02.07.18,19,276,215.28ton,인천국제공항,,,,
대한항공,HL7708,B737-900,02.08.08,19,188,79.02ton,청주국제공항,,,,
대한항공,HL7718,B737-900,03.05.28,18,188,79.02ton,김포공항,,,,
대한항공,HL7716,B737-900,03.04.21,18,188,79.02ton,김포공항,,,,
대한항공,HL7717,B737-900,03.05.14,18,188,79.02ton,김포공항,,,,
대한항공,HL7721,B777-200,03.08.06,18,248,286.9ton,인천국제공항,,,,
대한항공,HL7720,A330-300,03.08.07,18,276,217ton,인천국제공항,,,,
대한항공,HL7724,B737-900,04.04.09,17,188,79ton,김포공항,,,,
대한항공,HL7725,B737-900,04.05.11,17,188,79ton,김포공항,,,,
대한항공,HL7601,B747-400F,04.07.19,17,8,412.8ton,인천국제공항,,,,
대한항공,HL7727,B737-900,04.06.23,17,188,79ton,김포공항,,,,
대한항공,HL7728,B737-900,04.11.19,17,188,79ton,제주국제공항,,,,
대한항공,HL7726,B737-900,05.05.26,16,188,79ton,김포공항,,,,
대한항공,HL7602,B747-400F,05.10.07,16,8,412.8ton,인천국제공항,,,,
대한항공,HL7603,B747-400F,05.12.08,16,8,412.8ton,인천국제공항,,,,
대한항공,HL7605,B747-400F,06.05.31,15,8,412.8ton,인천국제공항,,,,
대한항공,HL7751,B777-200,07.07.20,14,261,292.56ton,인천국제공항,,,,
대한항공,HL7752,B777-200,07.11.05,14,261,292.56ton,제주국제공항,,,,
대한항공,HL7764,B777-200,07.11.14,14,261,292.56ton,인천국제공항,,,,
대한항공,HL7765,B777-200,08.03.29,13,261,292.56ton,김포공항,,,,
대한항공,HL7766,B777-200,08.06.08,13,261,292.56ton,인천국제공항,,,,
대한항공,HL7782,B777-300ER,09.04.19,12,291,344.74ton,인천국제공항,,,,
대한항공,HL7783,B777-300ER,09.07.19,12,291,344.74ton,인천국제공항,,,,
대한항공,HL8208,B777-300ER,10.04.13,11,291,344.74ton,인천국제공항,,,,
대한항공,HL8209,B777-300ER,10.05.16,11,291,344.74ton,인천국제공항,,,,
대한항공,HL8222,B737-700,09.07.27,12,16,77.6ton,김포공항,,,,
대한항공,HL8210,B777-300ER,10.06.23,11,291,344.74ton,인천국제공항,,,,
대한항공,HL8211,A330-200,10.06.21,11,218,237.9ton,인천국제공항,,,,
대한항공,HL8212,A330-200,10.08.30,11,218,238ton,인천국제공항,,,,
대한항공,HL8227,A330-200,11.01.24,11,218,238ton,인천국제공항,,,,
대한항공,HL8228,A330-200,11.01.31,11,218,238ton,인천국제공항,,,,
대한항공,HL8216,B777-300ER,11.04.21,10,291,344.74ton,인천국제공항,,,,
대한항공,HL7611,A380-800,10.09.27,11,407,560ton,인천국제공항,,,,
대한항공,HL8217,B777-300ER,11.05.15,10,291,344.74ton,제주국제공항,,,,
대한항공,HL8221,B737-900ER,11.04.22,10,159,81.87ton,제주국제공항,,,,
대한항공,HL8223,B737-900ER,11.06.08,10,159,81.87ton,제주국제공항,,,,
