"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","6,890",9,2,2,0,0,4,17
"8","1월","제주","도착","6,903",10,3,1,0,0,0,14
"9","1월","제주","계","13,793",19,5,3,0,0,4,31
"46","2월","제주","출발","6,334",3,2,2,0,0,2,9
"47","2월","제주","도착","6,340",3,1,2,0,1,1,8
"48","2월","제주","계","12,674",6,3,4,0,1,3,17
"85","3월","제주","출발","6,940",36,16,1,0,0,0,53
"86","3월","제주","도착","6,942",54,5,0,0,0,0,59
"87","3월","제주","계","13,882",90,21,1,0,0,0,112
"124","4월","제주","출발","7,082",46,7,0,0,0,11,64
"125","4월","제주","도착","7,076",55,6,0,0,0,12,73
"126","4월","제주","계","14,158",101,13,0,0,0,23,137
"163","5월","제주","출발","7,386",20,6,3,0,0,5,34
"164","5월","제주","도착","7,395",16,9,2,0,0,4,31
"165","5월","제주","계","14,781",36,15,5,0,0,9,65
"202","6월","제주","출발","7,155",14,3,0,0,0,1,18
"203","6월","제주","도착","7,157",11,2,0,0,0,0,13
"204","6월","제주","계","14,312",25,5,0,0,0,1,31
"241","7월","제주","출발","7,326",117,8,1,0,0,6,132
"242","7월","제주","도착","7,346",120,2,2,0,0,0,124
"243","7월","제주","계","14,672",237,10,3,0,0,6,256
"280","8월","제주","출발","7,528",24,12,0,0,0,19,55
"281","8월","제주","도착","7,563",20,0,0,0,0,2,22
"282","8월","제주","계","15,091",44,12,0,0,0,21,77
"319","9월","제주","출발","6,858",301,6,1,0,0,1,309
"320","9월","제주","도착","6,845",322,4,2,0,0,1,329
"321","9월","제주","계","13,703",623,10,3,0,0,2,638
"358","10월","제주","출발","7,309",138,3,1,0,0,2,144
"359","10월","제주","도착","7,300",134,1,1,0,0,1,137
"360","10월","제주","계","14,609",272,4,2,0,0,3,281
"397","11월","제주","출발","7,181",0,1,0,0,0,4,5
"398","11월","제주","도착","7,192",0,1,0,0,0,0,1
"399","11월","제주","계","14,373",0,2,0,0,0,4,6
"439","12월","제주","출발","7,400",10,5,0,0,0,6,21
"440","12월","제주","도착","7,406",12,7,0,0,0,4,23
"441","12월","제주","계","14,806",22,12,0,0,0,10,44
