"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","6,351",29,"1,652",16,5,0,42,"1,744"
"8","1월","제주","도착","6,344",63,"659",9,6,0,52,"789"
"9","1월","제주","계","12,695",92,"2,311",25,11,0,94,"2,533"
"46","2월","제주","출발","5,779",46,"1,485",11,4,0,90,"1,636"
"47","2월","제주","도착","5,779",69,"594",7,8,0,41,"719"
"48","2월","제주","계","11,558",115,"2,079",18,12,0,131,"2,355"
"85","3월","제주","출발","6,742",27,"1,083",15,3,0,14,"1,142"
"86","3월","제주","도착","6,722",27,"275",7,4,0,10,"323"
"87","3월","제주","계","13,464",54,"1,358",22,7,0,24,"1,465"
"124","4월","제주","출발","6,855",27,"1,728",13,3,0,5,"1,776"
"125","4월","제주","도착","6,879",49,"560",12,7,0,13,"641"
"126","4월","제주","계","13,734",76,"2,288",25,10,0,18,"2,417"
"163","5월","제주","출발","7,204",21,"2,124",20,8,0,12,"2,185"
"164","5월","제주","도착","7,220",45,"606",10,3,0,13,"677"
"165","5월","제주","계","14,424",66,"2,730",30,11,0,25,"2,862"
"202","6월","제주","출발","7,040",5,"1,790",22,19,0,15,"1,851"
"203","6월","제주","도착","7,049",18,"486",11,5,0,10,"530"
"204","6월","제주","계","14,089",23,"2,276",33,24,0,25,"2,381"
"241","7월","제주","출발","7,250",5,"1,381",18,15,0,9,"1,428"
"242","7월","제주","도착","7,248",3,"280",10,1,0,10,"304"
"243","7월","제주","계","14,498",8,"1,661",28,16,0,19,"1,732"
"280","8월","제주","출발","6,929",9,"1,760",20,9,0,14,"1,812"
"281","8월","제주","도착","6,956",10,"589",11,1,0,5,"616"
"282","8월","제주","계","13,885",19,"2,349",31,10,0,19,"2,428"
"319","9월","제주","출발","7,072",5,"1,565",17,16,0,7,"1,610"
"320","9월","제주","도착","7,081",1,"428",9,3,0,9,"450"
"321","9월","제주","계","14,153",6,"1,993",26,19,0,16,"2,060"
"358","10월","제주","출발","7,115",22,"1,944",18,15,1,7,"2,007"
"359","10월","제주","도착","7,113",20,"569",4,1,0,9,"603"
"360","10월","제주","계","14,228",42,"2,513",22,16,1,16,"2,610"
"397","11월","제주","출발","6,787",34,"1,425",15,4,1,8,"1,487"
"398","11월","제주","도착","6,818",36,"517",6,2,0,20,"581"
"399","11월","제주","계","13,605",70,"1,942",21,6,1,28,"2,068"
"436","12월","제주","출발","6,974",24,"1,123",17,6,0,15,"1,185"
"437","12월","제주","도착","6,981",15,"371",9,1,0,3,"399"
"438","12월","제주","계","13,955",39,"1,494",26,7,0,18,"1,584"
