"","월","공항명","운항.도착","운항.출발","운항.계","여객.도착","여객.출발","여객.계","화물.도착","화물.출발","화물.계"
"3","1월","제주","7,068","7,068","14,136","1,161,657","1,189,372","2,351,029","9,941.5","15,819.5","25,761"
"18","2월","제주","6,388","6,393","12,781","1,087,781","1,086,527","2,174,308","9,213.5","13,797.7","23,011.1"
"32","3월","제주","7,025","7,029","14,054","1,112,941","1,098,143","2,211,084","9,246.4","13,624.5","22,870.9"
"46","4월","제주","6,979","6,979","13,958","1,317,045","1,290,243","2,607,288","10,340.5","11,482.7","21,823.3"
"60","5월","제주","7,214","7,216","14,430","1,304,965","1,339,489","2,644,454","10,813.8","11,048.7","21,862.4"
"75","6월","제주","6,962","6,960","13,922","1,295,991","1,298,226","2,594,217","10,726.3","10,214.7","20,941"
"90","7월","제주","7,155","7,154","14,309","1,301,389","1,257,407","2,558,796","12,041.4","10,568.8","22,610.2"
"105","8월","제주","7,164","7,164","14,328","1,323,406","1,357,890","2,681,296","12,321.6","12,385.8","24,707.4"
"120","9월","제주","7,073","7,065","14,138","1,289,927","1,285,892","2,575,819","12,007.1","12,739.9","24,747"
"135","10월","제주","7,240","7,237","14,477","1,286,791","1,308,087","2,594,878","11,314","12,685.2","23,999.2"
"150","11월","제주","6,650","6,651","13,301","1,176,239","1,190,078","2,366,317","9,876.8","11,343.3","21,220.1"
"165","12월","제주","6,724","6,722","13,446","1,135,189","1,109,688","2,244,877","9,724.3","11,850.8","21,575.1"
