,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,1,2,6,6,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,7,6,6,6,5,6,5
2,1,3,5,6,6,7,7,7,7,7,7,7,5,7,7,7,7,7,7,6,6,4,3,3,2,2
3,1,4,1,1,4,4,4,3,4,4,4,4,4,2,2,1,2,2,2,0,0,2,2,0,2,1
4,1,5,1,1,0,0,0,0,0,2,2,2,1,2,6,5,7,7,7,7,7,7,7,7,7,7
5,1,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,1,7,8,8,8,8,8,8,8,7,6,7,7,7,7,6,6,7,3,8,8,8,8,8,8,8
7,1,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1,9,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,4
9,1,10,6,6,6,6,6,6,5,1,1,2,2,0,0,0,2,3,6,6,6,7,7,7,7,7
10,1,11,7,7,7,7,7,7,7,5,4,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8
11,1,12,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
12,1,13,7,7,7,7,7,7,7,7,7,7,5,5,6,6,7,7,7,7,7,7,7,7,7,7
13,1,14,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,5,5,5,6,6,7,7,7
14,1,15,7,7,7,6,6,5,5,7,7,7,7,7,7,7,6,7,7,7,8,7,7,7,7,7
15,1,16,7,7,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,7,7,7
16,1,17,7,7,8,8,8,8,8,7,3,4,2,2,2,4,4,6,6,6,6,4,3,3,4,4
17,1,18,4,4,3,3,4,3,6,6,6,5,4,4,4,4,6,6,6,6,6,6,6,6,6,6
18,1,19,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,7,7,6,6
19,1,20,6,6,5,6,7,7,7,8,8,8,6,4,4,4,4,3,3,2,2,2,3,4,4,3
20,1,21,3,2,2,2,3,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,6,7,8,8
21,1,22,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22,1,23,8,8,8,8,8,8,8,8,8,8,7,7,8,8,7,7,7,6,7,7,7,8,8,8
23,1,24,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
24,1,25,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8
25,1,26,8,8,7,7,8,7,7,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8
26,1,27,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
27,1,28,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
28,1,29,7,7,7,7,7,7,7,6,6,6,7,6,7,6,7,6,6,7,7,7,7,7,7,6
29,1,30,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30,1,31,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4
0,2,1,4,3,2,1,3,3,6,6,6,5,6,4,4,4,3,2,0,1,3,4,4,6,7,6
1,2,2,6,3,3,3,6,6,7,7,6,6,6,5,5,5,5,5,5,4,2,2,0,0,0,0
2,2,3,2,2,3,4,5,6,7,7,7,8,7,7,8,7,7,5,5,5,5,6,6,7,5,4
3,2,4,4,2,2,3,3,3,3,6,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
4,2,5,0,0,5,7,7,7,7,8,7,7,6,6,6,5,5,5,5,5,5,6,6,6,6,5
5,2,6,5,5,5,5,5,3,3,3,4,4,3,0,1,1,2,6,7,7,7,7,7,7,7,7
6,2,7,7,7,7,7,7,8,8,8,7,7,6,5,1,6,6,7,7,7,7,7,7,7,7,7
7,2,8,7,7,7,7,7,7,7,7,7,8,7,6,7,7,7,7,7,6,6,7,7,5,5,5
8,2,9,5,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,2,2,1,1,0,0,0
9,2,10,0,2,6,5,6,6,6,5,4,3,2,3,3,3,3,3,4,4,3,2,2,1,0,2
10,2,11,0,0,0,0,4,6,5,7,7,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8
11,2,12,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,7,7,7,7,7,7,7
12,2,13,7,7,7,7,7,7,7,7,7,7,7,4,6,7,4,4,3,3,3,3,6,6,6,6
13,2,14,6,7,8,8,8,8,7,6,0,0,0,0,0,3,3,3,1,3,7,7,7,7,7,7
14,2,15,7,7,7,8,8,8,8,6,5,4,2,2,5,7,8,8,8,8,8,8,8,8,8,8
15,2,16,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,7,7,8,7,7,7,7
16,2,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7
17,2,18,7,7,7,7,7,7,7,7,7,7,7,6,5,4,3,2,2,2,2,2,1,1,0,0
18,2,19,0,0,2,1,3,3,6,7,6,5,5,4,3,3,2,3,5,5,6,6,7,7,7,6
19,2,20,6,7,7,7,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
20,2,21,2,2,2,2,2,0,0,0,0,4,2,0,2,7,7,8,8,8,8,8,8,8,8,8
21,2,22,8,8,7,7,7,7,6,4,2,2,2,2,2,2,2,4,7,7,4,2,1,1,2,2
22,2,23,2,2,2,3,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,24,0,0,0,0,0,0,0,0,2,3,5,5,7,7,7,7,7,7,7,7,7,7,7,8
24,2,25,8,8,8,8,8,8,8,8,7,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8
25,2,26,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,5,4,2,4,4,3
26,2,27,2,1,1,2,3,2,3,6,6,6,7,6,5,5,4,4,4,4,4,4,4,4,0,0
27,2,28,3,3,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
28,2,29,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1,3,2,8,8,8,8,7,7,6,5,3,4,2,2,1,0,0,0,0,0,0,0,3,4,6,7
2,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
3,3,4,8,8,8,8,8,8,8,8,8,6,5,5,5,6,6,4,4,6,7,5,6,6,6,6
4,3,5,6,6,6,6,6,6,6,3,4,4,3,2,2,2,2,2,2,1,1,0,0,0,0,0
5,3,6,0,0,0,0,0,0,1,0,0,0,0,2,5,6,2,0,0,2,6,6,5,6,6,6
6,3,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6
7,3,8,7,6,6,5,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
8,3,9,3,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,3,10,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,4,4,4,2
10,3,11,2,2,2,2,2,4,3,1,1,2,2,1,1,1,1,1,1,3,2,1,0,0,0,0
11,3,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,5,7,7,7,7,7,7,7
12,3,13,7,7,7,7,7,7,7,7,6,6,4,7,7,7,5,7,7,7,7,7,7,8,8,6
13,3,14,6,2,5,5,5,2,2,4,6,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2
14,3,15,4,3,4,4,3,4,4,2,0,0,0,0,0,0,0,0,0,2,1,2,2,4,4,7
15,3,16,6,6,6,6,6,6,4,3,4,3,0,1,3,3,3,6,6,6,6,7,7,7,7,7
16,3,17,7,6,6,4,3,3,3,2,2,1,1,1,0,0,1,1,2,3,4,3,2,4,2,3
17,3,18,3,4,4,4,4,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18,3,19,0,0,0,0,0,0,0,4,3,4,5,7,5,5,4,3,2,2,2,2,2,0,0,0
19,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,7,7,7,7,7,6
21,3,22,5,6,7,7,8,8,8,8,8,8,8,8,8,5,6,6,6,6,6,4,4,3,3,3
22,3,23,4,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,7,8,8,8,8,8,8
25,3,26,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
26,3,27,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,5,4,4,6,6,6,6
27,3,28,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7
28,3,29,2,2,2,2,0,4,5,7,7,4,4,5,6,6,7,7,7,8,8,8,8,8,8,8
29,3,30,8,8,8,8,8,8,8,8,8,8,8,8,7,6,5,4,5,6,6,7,7,7,7,6
30,3,31,3,4,4,4,4,4,3,3,3,2,4,4,0,0,2,2,2,4,7,7,7,8,8,8
0,4,1,8,8,8,8,8,8,8,8,8,8,5,2,1,1,0,1,0,0,0,0,0,3,3,3
1,4,2,2,2,3,5,5,4,3,4,4,5,2,0,6,5,2,2,3,4,2,3,3,4,6,7
2,4,3,7,7,7,7,7,7,7,7,7,7,3,2,0,0,0,0,0,0,0,0,2,2,0,0
3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,5,6,6,6,5,1
4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,6,4,3,3
5,4,6,0,0,0,0,0,0,1,2,0,2,2,3,3,5,6,6,7,7,7,7,7,7,7,7
6,4,7,6,7,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0
7,4,8,2,3,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
8,4,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,10,3,4,6,7,7,5,6,6,6,7,4,1,0,0,0,1,4,5,4,4,4,5,5,5
10,4,11,5,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,4,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6
12,4,13,5,5,5,4,3,2,2,1,1,2,3,3,4,4,5,4,3,3,3,3,1,0,0,0
13,4,14,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,6,7,7,7,7,7,7
14,4,15,7,6,6,6,7,7,7,7,7,6,7,7,7,7,7,6,6,6,5,4,3,3,0,2
15,4,16,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,1,0,2,4,7,7,7,7,7
16,4,17,7,7,8,8,8,8,8,7,7,8,8,8,8,8,7,7,7,4,3,3,3,3,2,1
17,4,18,2,2,4,4,5,6,6,5,5,3,4,3,3,4,6,6,4,3,3,3,4,4,4,5
18,4,19,5,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
19,4,20,8,7,7,6,6,6,7,7,7,7,7,4,3,2,0,1,4,8,8,8,7,7,7,8
20,4,21,8,8,8,8,8,8,8,8,7,5,5,4,4,4,3,5,6,6,6,7,7,7,7,4
21,4,22,3,3,3,2,2,4,3,2,2,2,2,2,2,2,2,2,3,4,5,6,5,4,3,3
22,4,23,6,3,5,4,3,6,6,6,5,5,5,4,2,0,0,0,0,1,2,2,3,1,3,2
23,4,24,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,4,26,4,6,6,5,4,3,3,3,5,6,6,3,2,1,1,2,0,0,3,6,6,7,6,6
26,4,27,6,5,6,2,0,0,0,0,0,0,0,0,2,4,4,4,5,4,6,6,2,2,2,0
27,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,30,0,0,0,0,3,4,2,1,0,2,1,1,2,2,2,2,2,2,2,0,0,0,0,0
0,5,1,2,4,4,4,0,2,2,2,2,2,1,3,5,5,5,5,5,5,5,7,7,7,7,6
1,5,2,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
2,5,3,8,8,8,8,8,8,8,8,7,8,6,4,6,7,8,8,8,8,8,7,7,7,7,7
3,5,4,7,7,7,7,7,7,7,7,7,7,7,4,2,3,4,4,1,0,0,0,0,0,0,0
4,5,5,0,0,0,0,0,0,0,0,4,4,6,6,7,7,7,7,7,8,8,8,8,7,7,4
5,5,6,4,0,0,4,4,7,7,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,5,7,0,0,0,0,0,1,1,2,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3
7,5,8,4,2,2,1,2,3,4,5,4,4,4,3,3,3,5,7,7,7,8,8,8,8,8,8
8,5,9,8,8,8,8,8,8,8,7,7,6,7,7,7,7,7,7,4,4,7,7,7,7,7,7
9,5,10,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,7,6,7,4,4,4,2,1,1
10,5,11,1,1,1,1,1,0,0,0,0,7,4,4,0,0,0,0,0,2,2,2,2,6,7,7
11,5,12,7,7,7,7,6,3,3,3,3,0,0,0,0,0,0,0,1,3,3,7,7,4,3,2
12,5,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,5,14,0,0,0,2,4,6,6,6,7,5,5,7,5,4,4,5,5,6,7,7,7,7,8,8
14,5,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,7,8,8,7,7,7
15,5,16,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7
16,5,17,7,7,7,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7
17,5,18,5,7,7,7,5,7,7,7,7,7,7,7,6,4,4,4,6,6,7,7,4,3,2,0
18,5,19,0,1,2,2,2,0,0,0,0,0,3,5,5,4,2,3,2,2,4,4,4,4,4,3
19,5,20,2,2,3,3,2,1,2,4,5,5,4,2,3,2,2,2,1,2,4,5,5,5,5,5
20,5,21,5,5,5,5,5,5,5,4,4,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0
21,5,22,0,3,2,6,6,6,7,7,7,7,5,4,3,1,2,2,2,2,2,2,0,0,0,0
22,5,23,0,0,0,0,0,1,2,3,3,5,6,6,6,7,6,6,5,3,1,2,0,0,0,0
23,5,24,0,0,0,0,1,2,0,0,2,2,4,3,2,5,6,6,7,7,7,7,7,7,7,7
