,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,30.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0
1,1,2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,25.0
2,1,3,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,35.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0
3,1,4,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,25.0,25.0,30.0,30.0,,,25.0,25.0,,30.0,30.0
4,1,5,30.0,30.0,,,,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,170.0,180.0,150.0,140.0,140.0,140.0,150.0,100.0,110.0
5,1,6,110.0,110.0,100.0,100.0,100.0,80.0,70.0,70.0,15.0,15.0,15.0,15.0,50.0,40.0,40.0,35.0,35.0,40.0,40.0,40.0,40.0,45.0,40.0,40.0
6,1,7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,25.0,12.0,15.0,15.0,17.0,17.0,15.0
7,1,8,15.0,20.0,20.0,20.0,20.0,15.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,25.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0
8,1,9,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,25.0,25.0
9,1,10,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,150.0,200.0,,,,200.0,200.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0,100.0
10,1,11,120.0,30.0,30.0,30.0,70.0,70.0,70.0,30.0,40.0,40.0,30.0,30.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0
11,1,12,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,40.0,35.0,35.0,40.0,35.0,40.0,40.0,40.0,35.0,35.0,35.0
