,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,1,2,1000,1000,1000,1000,1000,1000,1000,1000,500,600,700,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2,1,3,1000,1000,600,500,500,500,500,400,400,500,500,600,700,700,700,800,800,900,800,800,800,800,800,800
3,1,4,800,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,600,600,600,600,600,500,500,400,400,400,400
4,1,5,400,400,400,400,400,400,400,400,400,500,500,500,600,600,800,800,800,800,600,420,500,600,600,600
5,1,6,600,600,600,600,600,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
6,1,7,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,600,600,500,600,600,600,600,600
7,1,8,420,420,420,350,420,600,600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,700,700,800,1000,1000,1000
8,1,9,1000,1000,1000,1000,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,1,10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
10,1,11,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
11,1,12,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,700,600,450,500,500,500,700,700
12,1,13,700,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,700,700,700,700,1000,1000,1000,1000,1000,1000
13,1,14,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
14,1,15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
15,1,16,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,1,17,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
17,1,18,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,800,800,800,700,700,600,600,600,600
18,1,19,600,600,500,500,500,500,500,500,500,600,600,600,600,700,800,800,900,900,700,700,800,800,800,800
19,1,20,700,600,600,600,1000,1000,600,600,600,600,1000,600,600,350,420,420,600,1000,1000,600,1000,1000,1000,1000
20,1,21,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,600,1000,1000,1000,1000,1000,1000,1000
21,1,22,1000,1000,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,600,600,600
22,1,23,600,600,600,600,450,600,600,1000,350,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,1,24,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
24,1,25,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
25,1,26,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
