,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,30,34,34,36,36,36,36,1,36,1,1,3,36,35,31,32,35,2,1,2,2,3,12,12
1,1,2,17,15,15,13,13,14,15,15,15,14,9,3,4,2,1,3,33,1,36,1,36,1,35,1
2,1,3,34,36,1,36,36,36,34,35,1,36,36,1,32,33,36,35,36,36,1,36,3,1,2,36
3,1,4,1,36,1,2,1,36,35,1,2,36,36,2,2,1,34,33,32,33,33,36,2,4,21,19
4,1,5,20,20,19,18,19,35,35,34,34,34,33,31,33,32,33,32,32,32,33,33,33,33,32,32
5,1,6,32,33,32,33,33,32,34,34,35,36,2,30,32,35,32,34,25,33,23,18,27,20,18,17
6,1,7,8,15,17,16,17,18,10,18,15,13,13,26,5,9,7,8,12,18,9,12,16,9,11,10
7,1,8,9,9,9,9,10,22,17,11,36,36,33,34,33,32,31,31,32,30,30,31,31,31,30,31
8,1,9,31,32,31,31,31,31,31,31,31,29,31,31,31,30,31,30,31,31,30,30,29,29,25,27
9,1,10,28,26,29,26,27,31,31,31,30,31,30,30,30,30,31,32,32,31,31,29,31,31,31,32
10,1,11,30,31,32,31,32,31,31,33,33,33,32,31,31,32,31,33,33,34,35,35,34,34,36,33
11,1,12,34,34,35,33,34,32,32,34,33,33,33,33,34,33,33,34,34,34,35,34,35,36,34,31
12,1,13,17,30,31,31,30,32,32,28,32,33,33,32,31,31,31,30,33,22,22,17,18,17,16,16
13,1,14,16,16,17,17,17,14,12,13,13,12,34,14,3,34,7,4,3,9,14,19,20,18,12,21
14,1,15,23,26,22,23,23,24,23,22,23,25,31,32,30,30,32,33,36,34,7,17,15,11,15,12
15,1,16,30,16,10,10,8,14,12,6,11,20,16,15,14,11,13,26,26,10,36,3,7,5,7,6
16,1,17,7,10,9,7,36,34,34,33,33,33,32,31,30,32,33,33,31,35,33,2,31,33,35,19
17,1,18,23,20,28,30,32,33,33,33,32,29,30,30,32,33,33,33,33,34,34,34,19,18,20,21
18,1,19,32,33,33,34,34,33,9,1,1,35,1,29,36,35,33,32,25,27,21,19,4,35,1,36
19,1,20,18,36,19,16,16,13,16,13,2,1,3,5,2,3,36,2,1,5,16,17,17,18,18,24
20,1,21,20,17,14,36,2,1,16,17,14,13,8,5,6,6,6,7,9,11,11,11,10,10,14,15
21,1,22,14,7,9,20,15,16,2,4,4,4,1,1,30,29,30,28,26,28,28,30,30,32,32,31
22,1,23,33,32,32,32,32,34,34,35,35,35,34,34,32,33,33,33,34,34,32,33,31,30,31,33
23,1,24,33,33,34,32,33,34,35,1,36,36,35,36,36,35,35,34,36,34,36,33,36,35,36,36
24,1,25,35,36,36,36,1,1,36,1,36,36,1,35,33,36,36,1,34,35,35,34,35,35,35,34
25,1,26,34,33,34,34,34,35,34,35,35,36,35,35,34,34,34,33,35,35,36,34,33,34,2,1
26,1,27,2,36,34,36,3,2,2,36,35,36,1,5,32,1,2,9,4,14,14,17,17,15,19,18
27,1,28,19,20,25,34,31,30,18,18,36,2,4,34,35,33,33,33,32,32,33,33,33,33,33,33
28,1,29,34,33,34,33,33,33,33,32,32,32,32,31,33,31,32,32,32,31,32,33,34,35,35,35
29,1,30,35,1,35,34,32,33,34,33,34,33,32,34,31,31,29,29,30,32,34,36,2,35,34,20
30,1,31,19,19,19,18,18,18,17,21,21,17,13,8,3,5,6,35,9,18,16,20,27,13,1,36
0,2,1,1,1,1,2,3,2,1,3,2,4,4,2,1,36,36,36,2,2,36,1,36,36,36,1
1,2,2,36,1,2,1,33,33,25,33,35,35,36,35,34,32,34,33,32,32,33,34,33,33,33,23
2,2,3,32,33,32,34,34,35,35,34,34,34,35,33,33,33,34,33,33,33,34,35,35,34,32,33
3,2,4,34,34,33,32,32,32,33,33,33,32,33,33,34,33,33,33,33,33,34,35,34,34,35,33
