,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,8,9,10,8,10,7,8,9,7,6,5,7,6,6,4,8,7,4,5,5,6,6,3,4
1,1,2,6,6,6,7,4,7,6,7,6,5,6,5,6,6,6,4,3,3,5,4,6,5,4,10
2,1,3,6,6,10,8,8,7,4,5,4,7,8,7,6,6,6,7,7,6,7,8,6,6,5,5
3,1,4,3,8,5,6,5,5,6,8,7,7,5,5,4,6,6,5,2,4,3,4,3,2,4,4
4,1,5,5,5,4,5,6,5,6,8,8,5,9,8,10,14,14,13,13,12,11,13,10,11,13,9
5,1,6,10,10,11,11,11,10,8,9,8,7,5,4,7,6,5,5,5,3,1,4,3,4,4,5
6,1,7,4,5,6,5,6,4,6,4,4,4,2,3,4,11,9,12,5,2,3,1,5,6,8,8
7,1,8,9,8,8,10,13,4,4,2,18,8,8,7,4,9,12,13,9,10,12,21,21,21,18,21
8,1,9,22,23,21,20,20,18,20,23,21,17,19,18,17,14,17,16,16,13,13,13,12,11,14,18
9,1,10,13,17,16,15,16,25,25,21,16,26,18,20,20,25,23,24,23,22,20,16,22,18,20,20
10,1,11,20,17,18,19,16,18,14,13,14,16,16,16,14,17,14,17,17,15,15,14,21,18,12,22
11,1,12,16,18,11,6,14,19,17,12,19,13,13,12,12,14,14,12,11,8,8,8,7,7,6,6
12,1,13,4,8,7,9,7,9,10,5,9,7,7,5,5,6,6,6,4,4,2,3,4,5,4,6
13,1,14,6,6,6,6,6,5,8,6,5,5,2,3,5,4,4,4,4,3,6,3,3,2,1,5
14,1,15,9,12,7,8,9,8,6,6,5,5,7,7,6,6,7,4,2,1,1,5,5,2,3,2
15,1,16,1,3,3,3,2,4,4,2,6,2,2,7,2,6,3,6,2,5,10,7,6,9,8,7
16,1,17,7,5,5,4,10,11,8,11,9,9,6,6,6,7,8,8,3,5,7,2,3,1,3,3
17,1,18,5,5,4,8,10,7,8,10,7,8,6,5,7,7,8,7,8,6,4,4,2,3,3,5
18,1,19,6,6,5,6,5,3,5,6,4,6,5,4,5,4,4,4,2,1,5,4,2,4,5,3
19,1,20,3,6,3,4,5,4,6,2,5,7,5,5,7,6,6,6,4,3,3,4,5,4,5,2
20,1,21,3,4,3,7,5,5,4,6,5,6,7,9,11,11,12,14,12,8,9,7,9,8,5,6
21,1,22,4,4,4,4,4,4,10,7,8,8,5,4,4,4,8,8,8,11,14,16,13,19,18,15
22,1,23,17,12,10,13,14,12,16,13,13,12,12,10,11,13,12,10,11,13,13,14,12,10,13,14
23,1,24,11,12,10,10,10,13,13,13,12,11,9,10,7,6,7,9,11,12,9,9,10,9,9,9
24,1,25,10,10,11,11,11,11,10,10,13,10,11,11,9,9,9,8,8,9,9,10,12,8,10,9
25,1,26,10,12,11,12,13,12,14,10,12,12,12,8,11,12,11,12,10,10,10,9,8,6,5,6
26,1,27,7,5,4,7,4,6,6,2,5,6,5,4,5,5,3,2,2,1,4,4,5,3,4,4
27,1,28,7,5,3,4,3,3,6,6,9,6,5,6,5,6,7,15,15,14,12,14,12,13,11,12
28,1,29,13,16,15,14,16,14,16,13,15,14,14,13,14,13,12,13,17,11,15,11,9,10,8,5
29,1,30,7,6,8,8,7,12,11,10,11,8,8,8,7,8,6,6,5,6,6,4,3,6,3,3
30,1,31,5,5,4,4,5,6,6,5,2,2,3,6,4,2,3,5,1,6,5,4,3,4,7,8
0,2,1,4,6,7,8,8,7,8,8,8,6,6,7,8,8,8,8,5,6,6,7,8,8,6,7
1,2,2,7,6,7,5,5,5,3,8,7,7,7,6,6,7,7,5,5,5,7,7,7,6,6,4
2,2,3,3,7,11,13,20,14,11,15,16,13,14,18,16,17,15,16,16,13,16,13,16,15,16,16
3,2,4,22,14,16,15,17,18,21,14,17,16,17,16,17,17,17,17,15,17,15,10,11,13,13,14
