cloud,min_cloud_hei,rain,temp,visiblity,wind_dire,wind_spd,class
7,35,0,7.6,1000,20,4,0
6,35,0,6.8,1000,19,5,0
3,35,0,5.6,1000,18,6,0
3,35,0,5.6,1000,18,6,0
3,35,0,5.6,1000,18,6,0
3,35,0,5.6,1000,18,6,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,10.8,1000,12,2,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
2,35,0,11.3,1000,3,3,0
1,30,0,11.6,1000,3,4,0
1,30,0,11.6,1000,3,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.5,1000,36,4,0
0,0,0,11.7,1000,4,4,0
0,0,0,11.7,1000,4,4,0
0,0,0,11.7,1000,4,4,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.5,1000,5,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,11.2,1000,6,7,0
0,0,0,10.2,1000,7,8,0
0,0,0,10.2,1000,7,8,0
3,30,0,10.5,1000,12,5,0
3,30,0,10.5,1000,12,5,0
3,30,0,10.5,1000,12,5,0
3,30,0,10.5,1000,12,5,0
4,30,0,10.7,1000,14,3,0
4,30,0,10.7,1000,14,3,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
4,30,0,10.4,1000,17,4,0
5,30,0,10.7,1000,13,3,0
8,30,0,10.3,1000,14,3,0
8,16,0,10.1,1000,18,2,0
8,11,1,10.1,1000,12,3,0
8,11,1,10.1,1000,12,3,0
8,11,1,10.1,1000,12,3,0
8,10,0,10.6,600,12,6,0
8,10,0,10.6,600,12,6,0
8,8,0,10.9,700,17,1,0
8,8,0,10.9,700,17,1,0
8,8,0,10.9,700,17,1,0
8,8,0,10.9,700,17,1,0
8,8,0,10.9,700,17,1,0
7,25,0,11.4,700,15,6,0
7,25,0,11.4,700,15,6,0
5,25,0,12.5,1000,15,4,0
5,25,0,12.5,1000,15,4,0
6,25,0,12.9,1000,1,4,0
6,25,0,12.9,1000,1,4,0
7,25,0,13,1000,29,3,0
7,25,0,13,1000,29,3,0
7,25,0,13,1000,29,3,0
7,25,0,13,1000,29,3,0
6,25,0,12.8,1000,34,5,0
6,25,0,12.8,1000,34,5,0
6,25,0,12.8,1000,34,5,0
6,25,0,12.8,1000,34,5,0
6,25,0,12.8,1000,34,5,0
6,30,0,12.5,1000,35,5,0
6,30,0,12.1,1000,34,5,0
